Name,Year,Position,Games,Attempts,Yards,TDs
"Matt Colburn, Wake Forest (Atlantic Coast)",So.,RB,13.00,151.00,626.00,2.00
"Robert Martin, Rutgers (Big Ten)",Jr.,RB,10.00,121.00,625.00,2.00
"Marcus Marshall, Georgia Tech (Atlantic Coast)",So.,RB,11.00,96.00,624.00,4.00
"Jamycal Hasty, Baylor (Big 12)",So.,RB,12.00,119.00,623.00,3.00
"Shaun Wilson, Duke (Atlantic Coast)",Jr.,RB,12.00,151.00,623.00,4.00
"D.J. Johnson, Air Force (Mountain West)",Sr.,RB,12.00,150.00,622.00,2.00
"Markell Jones, Purdue (Big Ten)",So.,RB,11.00,153.00,616.00,4.00
"Chris Evans, Michigan (Big Ten)",Fr.,RB,13.00,88.00,614.00,4.00
"Trevor Knight, Texas A&M (Southeastern)",Sr.,QB,11.00,102.00,614.00,10.00
"Kenny Hill, TCU (Big 12)",Jr.,QB,13.00,125.00,609.00,10.00
"Joe Yearby, Miami (FL) (Atlantic Coast)",Jr.,RB,13.00,102.00,608.00,7.00
"Justin Davis, Southern California (Pac-12)",Sr.,RB,10.00,110.00,607.00,2.00
"Justin Thomas, Georgia Tech (Atlantic Coast)",Sr.,QB,12.00,137.00,604.00,6.00
"Taysom Hill, BYU (FBS Independent)",Sr.,QB,12.00,137.00,603.00,8.00
"Devwah Whaley, Arkansas (Southeastern)",Fr.,RB,13.00,110.00,602.00,3.00
"Darnell Woolfolk, Army West Point (FBS Independent)",So.,RB,11.00,109.00,600.00,9.00
"Charles Jones, Kansas St. (Big 12)",Sr.,RB,13.00,115.00,596.00,2.00
"Alvin Kamara, Tennessee (Southeastern)",Jr.,RB,11.00,103.00,596.00,9.00
"Stedman Mayberry, Texas St. (Sun Belt)",So.,RB,12.00,157.00,593.00,5.00
"Demario Richard, Arizona St. (Pac-12)",Jr.,RB,11.00,155.00,593.00,3.00
"Cade Carney, Wake Forest (Atlantic Coast)",Fr.,RB,10.00,156.00,589.00,6.00
"James Williams, Washington St. (Pac-12)",Fr.,RB,13.00,102.00,584.00,6.00
"Terry Swanson, Toledo (Mid-American)",Jr.,RB,13.00,116.00,583.00,4.00
"Jamal Morrow, Washington St. (Pac-12)",Jr.,RB,13.00,90.00,575.00,5.00
"Paul Harris, Hawaii (Mountain West)",Sr.,RB,14.00,81.00,568.00,2.00
"Joshua Jacobs, Alabama (Southeastern)",Fr.,RB,15.00,85.00,567.00,4.00
"Dontae Strickland, Syracuse (Atlantic Coast)",So.,RB,12.00,162.00,566.00,4.00
"David Montgomery, Iowa St. (Big 12)",Fr.,RB,12.00,109.00,563.00,2.00
"Anthony Jones, FIU (Conference USA)",So.,RB,12.00,116.00,562.00,4.00
"Chris Carson, Oklahoma St. (Big 12)",Sr.,RB,9.00,82.00,559.00,9.00
"Mike Warren, Iowa St. (Big 12)",So.,RB,11.00,134.00,559.00,3.00
"Anthony Maddie, Northern Ill. (Mid-American)",Sr.,WR,7.00,82.00,558.00,7.00
"Kenny Young, Miami (OH) (Mid-American)",So.,RB,13.00,88.00,557.00,2.00
"Chris High, Navy (AAC)",Jr.,RB,11.00,85.00,546.00,7.00
"Marvin Kinsey, Jr., Colorado St. (Mountain West)",Fr.,RB,12.00,93.00,546.00,7.00
"Patrick Taylor, Memphis (AAC)",Fr.,RB,13.00,93.00,546.00,2.00
"D'Ernest Johnson, South Fla. (AAC)",Jr.,RB,13.00,111.00,543.00,8.00
"Quinton Baker, Western Ky. (Conference USA)",Fr.,RB,14.00,99.00,542.00,4.00
"Jon Hilliman, Boston College (Atlantic Coast)",So.,RB,12.00,184.00,542.00,6.00
"Riley Neal, Ball St. (Mid-American)",So.,QB,11.00,127.00,540.00,8.00
"Kalen Ballage, Arizona St. (Pac-12)",Jr.,RB,12.00,126.00,536.00,14.00
"Duke Catalon, Houston (AAC)",So.,RB,9.00,145.00,528.00,4.00
"Josh Allen, Wyoming (Mountain West)",So.,QB,14.00,,523.00,7.00
"Reggie Corbin, Illinois (Big Ten)",Fr.,RB,12.00,86.00,523.00,2.00
"Artavis Pierce, Oregon St. (Pac-12)",Fr.,RB,11.00,98.00,523.00,4.00
